类型,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),无风化,风化
高钾,无风化,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0,1,0
高钾,风化,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0,0,1
铅钡,风化,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0,0,1
铅钡,无风化,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0,1,0
铅钡,风化,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0,0,1
铅钡,风化,19.79,0.0,0.0,1.44,0.0,0.7,0.0,10.57,29.53,32.25,3.13,0.45,0.0,1.96,0,1
铅钡,风化,3.72,0.0,0.4,3.01,0.0,1.18,0.0,3.6,29.92,35.45,6.04,0.62,0.0,15.95,0,1
高钾,风化,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0,0,1
铅钡,风化,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0,0,1
铅钡,风化,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0,0,1
铅钡,无风化,34.34,0.0,1.41,4.49,0.98,4.35,2.12,0.0,39.22,10.29,0.0,0.35,0.4,0.0,1,0
铅钡,无风化,36.93,0.0,0.0,4.24,0.51,3.86,2.74,0.0,37.74,10.35,1.41,0.48,0.44,0.0,1,0
铅钡,无风化,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0,1,0
铅钡,无风化,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0,1,0
铅钡,无风化,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0,1,0
铅钡,风化,35.78,0.0,0.25,0.78,0.0,1.62,0.47,1.51,46.55,10.0,0.34,0.22,0.0,0.0,0,1
铅钡,无风化,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0,1,0
铅钡,风化,39.57,2.22,0.14,0.37,0.0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0.0,0.0,0,1
铅钡,无风化,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66,1,0
铅钡,风化,32.93,1.38,0.0,0.68,0.0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0.0,0.0,0,1
铅钡,风化,26.25,0.0,0.0,1.11,0.0,0.5,0.0,0.88,61.03,7.22,1.16,0.61,0.0,0.0,0,1
铅钡,风化,16.71,0.0,0.0,1.87,0.0,0.45,0.19,0.0,70.21,6.69,1.77,0.68,0.0,0.0,0,1
铅钡,风化,18.46,0.0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0.0,0.0,0,1
铅钡,风化,51.26,5.74,0.15,0.79,1.09,3.53,0.0,2.67,21.88,10.47,0.08,0.35,0.0,0.0,0,1
铅钡,风化,51.33,5.68,0.35,0.0,1.16,5.66,0.0,2.72,20.12,10.88,0.0,0.0,0.0,0.0,0,1
铅钡,风化,12.41,0.0,0.0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0.0,0.64,0.0,0.0,0,1
铅钡,风化,21.7,0.0,0.0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0.0,0.0,0,1
铅钡,风化,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0,0,1
铅钡,无风化,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0,1,0
铅钡,无风化,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0,1,0
铅钡,无风化,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0,1,0
铅钡,风化,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0.0,15.71,7.31,1.1,0.25,1.31,0.0,0,1
铅钡,风化,28.79,0.0,0.0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0.0,0.0,0,1
铅钡,风化,54.61,0.0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0.0,0.0,0,1
铅钡,风化,17.98,0.0,0.0,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,0.0,0.0,0,1
铅钡,风化,45.02,0.0,0.0,3.12,0.54,4.16,0.0,0.7,30.61,6.22,6.34,0.23,0.0,0.0,0,1
铅钡,风化,24.61,0.0,0.0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0.0,0,1
铅钡,风化,21.35,0.0,0.0,5.13,1.45,2.51,0.42,0.75,51.34,0.0,8.75,0.0,0.0,0.0,0,1
铅钡,风化,25.74,1.22,0.0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0.0,0.0,0,1
铅钡,风化,63.66,3.04,0.11,0.78,1.14,6.06,0.0,0.54,13.66,8.99,0.0,0.27,0.0,0.0,0,1
铅钡,风化,22.28,0.0,0.32,3.19,1.28,4.15,0.0,0.83,55.46,7.04,4.24,0.88,0.0,0.0,0,1
铅钡,风化,17.11,0.0,0.0,0.0,1.11,3.65,0.0,1.34,58.46,0.0,14.13,1.12,0.0,0.0,0,1
铅钡,无风化,49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,7.95,0.35,0.0,0.0,0.0,1,0
铅钡,风化,29.15,0.0,0.0,1.21,0.0,1.85,0.0,0.79,41.25,15.45,2.54,0.0,0.0,0.0,0,1
铅钡,风化,25.42,0.0,0.0,1.31,0.0,2.18,0.0,1.16,45.1,17.3,0.0,0.0,0.0,0.0,0,1
铅钡,风化,30.39,0.0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0.0,0.0,0,1
