ÀàÐÍ,¶þÑõ»¯¹è(SiO2),Ñõ»¯ÄÆ(Na2O),Ñõ»¯¼Ø(K2O),Ñõ»¯¸Æ(CaO),Ñõ»¯Ã¾(MgO),Ñõ»¯ÂÁ(Al2O3),Ñõ»¯Ìú(Fe2O3),Ñõ»¯Í­(CuO),Ñõ»¯Ç¦(PbO),Ñõ»¯±µ(BaO),ÎåÑõ»¯¶þÁ×(P2O5),Ñõ»¯ïÈ(SrO),Ñõ»¯Îý(SnO2),¶þÑõ»¯Áò(SO2),sum
Ç¦±µ,45.02,0,0,3.12,0.54,4.16,0,0.7,30.61,6.22,6.34,0.23,0,0,96.94
Ç¦±µ,24.61,0,0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0,95.33
Ç¦±µ,21.35,0,0,5.13,1.45,2.51,0.42,0.75,51.34,0,8.75,0,0,0,91.7
Ç¦±µ,25.74,1.22,0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0,0,94.08
Ç¦±µ,63.66,3.04,0.11,0.78,1.14,6.06,0,0.54,13.66,8.99,0,0.27,0,0,98.25
Ç¦±µ,22.28,0,0.32,3.19,1.28,4.15,0,0.83,55.46,7.04,4.24,0.88,0,0,99.67
Ç¦±µ,17.11,0,0,0,1.11,3.65,0,1.34,58.46,0,14.13,1.12,0,0,96.92
Ç¦±µ,49.01,2.71,0,1.13,0,1.45,0,0.86,32.92,7.95,0.35,0,0,0,96.38
Ç¦±µ,29.15,0,0,1.21,0,1.85,0,0.79,41.25,15.45,2.54,0,0,0,92.24
Ç¦±µ,25.42,0,0,1.31,0,2.18,0,1.16,45.1,17.3,0,0,0,0,92.47
Ç¦±µ,30.39,0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0,0,98.76
